Activity(app or site),"ActivityType(0 - app, 1 - website)",CategoryID,Parent_name,Category_name,Full_name
Solid Edge,0,10,Business,Operations,Business - Operations
print.endicia.com,1,10,Business,Operations,Business - Operations
one.avidxchange.net,1,10,Business,Operations,Business - Operations
DSYInsSetupGUI,0,10,Business,Operations,Business - Operations
tripplite.com,1,10,Business,Operations,Business - Operations
phx.paytrace.com,1,10,Business,Operations,Business - Operations
highspeedinternet.com,1,10,Business,Operations,Business - Operations
wallet.advcash.com,1,10,Business,Operations,Business - Operations
app.sendoutcards.com,1,10,Business,Operations,Business - Operations
jcb-gate.jp,1,10,Business,Operations,Business - Operations
secure08ea.chase.com,1,10,Business,Operations,Business - Operations
nextstep.concord.net,1,10,Business,Operations,Business - Operations
lbsfcu.financialhost.org,1,10,Business,Operations,Business - Operations
provider.massgeneralbrighamhealthplan.org,1,10,Business,Operations,Business - Operations
Trader Workstation,0,10,Business,Operations,Business - Operations
pexuniverse.com,1,10,Business,Operations,Business - Operations
siva.jobstreet.co.id,1,10,Business,Operations,Business - Operations
esubmissions.thehartford.com,1,10,Business,Operations,Business - Operations
homenetiol.com,1,10,Business,Operations,Business - Operations
convertworld.com,1,10,Business,Operations,Business - Operations
pkm.conclude.com,1,10,Business,Operations,Business - Operations
secure.tulsapac.com,1,10,Business,Operations,Business - Operations
e-insolvensi.mdi.gov.my,1,10,Business,Operations,Business - Operations
dashboard.thefundedtraderprogram.com,1,10,Business,Operations,Business - Operations
tutu.travel,1,10,Business,Operations,Business - Operations
metroproperty-my.sharepoint.com,1,10,Business,Operations,Business - Operations
dashboard.afgonline.com.a,0,10,Business,Operations,Business - Operations
ef.hasil.gov.my,1,10,Business,Operations,Business - Operations
Office-Logic,0,10,Business,Operations,Business - Operations
order.99restaurants.com,1,10,Business,Operations,Business - Operations
webtracker.pkwillis.com,1,10,Business,Operations,Business - Operations
optavia.com,1,10,Business,Operations,Business - Operations
farmers.myflood.com,1,10,Business,Operations,Business - Operations
access.symmetry.net,1,10,Business,Operations,Business - Operations
officedepot.com.gt,1,10,Business,Operations,Business - Operations
securestorageunit.com,1,10,Business,Operations,Business - Operations
production1.healthfortis.com,1,10,Business,Operations,Business - Operations
eview.tdlpathology.com,1,10,Business,Operations,Business - Operations
WPS Writer,0,10,Business,Operations,Business - Operations
Callbar 1.49.11-electron,1,10,Business,Operations,Business - Operations
americanfreight.com,1,10,Business,Operations,Business - Operations
xoxocar.com,1,10,Business,Operations,Business - Operations
service.ringcentral.com,1,10,Business,Operations,Business - Operations
order.veggiegrill.com,1,10,Business,Operations,Business - Operations
ruud.registermyunit.com,1,10,Business,Operations,Business - Operations
broker.springeq.com,1,10,Business,Operations,Business - Operations
yareel.com,1,10,Business,Operations,Business - Operations
Beltone Solus Max,0,10,Business,Operations,Business - Operations
Enlisted Client,0,10,Business,Operations,Business - Operations
ebank.pinnbank.com,1,10,Business,Operations,Business - Operations
postman.com,1,10,Business,Operations,Business - Operations
server-m,0,10,Business,Operations,Business - Operations
usg.com,1,10,Business,Operations,Business - Operations
bitaddress.org,1,10,Business,Operations,Business - Operations
networksolutions.com,1,10,Business,Operations,Business - Operations
hilti.be,1,10,Business,Operations,Business - Operations
CircleLoop,0,10,Business,Operations,Business - Operations
biws.travelers.com,1,10,Business,Operations,Business - Operations
hau.instructure.com,1,10,Business,Operations,Business - Operations
compnine.com,1,10,Business,Operations,Business - Operations
corp.onlinesbi.sbi,1,10,Business,Operations,Business - Operations
civicaepay.co.uk,1,10,Business,Operations,Business - Operations
sso.dnb.com,1,10,Business,Operations,Business - Operations
opexplorer.com,1,10,Business,Operations,Business - Operations
grabngowi.com,1,10,Business,Operations,Business - Operations
app.napoleoncat.com,1,10,Business,Operations,Business - Operations
storefront.mhs.com,1,10,Business,Operations,Business - Operations
asana.zoom.us,1,10,Business,Operations,Business - Operations
avianca.com,1,10,Business,Operations,Business - Operations
Vantagepoint,0,10,Business,Operations,Business - Operations
emadrmx.clavisco.com,1,10,Business,Operations,Business - Operations
banking.fnbo.com,1,10,Business,Operations,Business - Operations
property-report-api.mapshare.vic.gov.a,0,10,Business,Operations,Business - Operations
isiweb.apollomga.com,1,10,Business,Operations,Business - Operations
Amazon Music,0,10,Business,Operations,Business - Operations
portal.achieve3000.com,1,10,Business,Operations,Business - Operations
workforcenowservice.adp.com,1,10,Business,Operations,Business - Operations
globalsps.mds.honda.com,1,10,Business,Operations,Business - Operations
ncees.org,1,10,Business,Operations,Business - Operations
StockOpname,0,10,Business,Operations,Business - Operations
msftconnecttest.com,1,10,Business,Operations,Business - Operations
brutal.io,1,10,Business,Operations,Business - Operations
digitalbanking.firstcitizens.com,1,10,Business,Operations,Business - Operations
franklin.oh.publicsearch.us,1,10,Business,Operations,Business - Operations
securelink.methodisthospitals.org,1,10,Business,Operations,Business - Operations
vus.circulemosdigital.com.co,1,10,Business,Operations,Business - Operations
apps.bancoguayaquil.com,1,10,Business,Operations,Business - Operations
smcpneumatics.com,1,10,Business,Operations,Business - Operations
nam.newvoicemedia.com,1,10,Business,Operations,Business - Operations
go.careacademy.com,1,10,Business,Operations,Business - Operations
viki.com,1,10,Business,Operations,Business - Operations
Barcode Producer,1,10,Business,Operations,Business - Operations
pitneybowes.us,1,10,Business,Operations,Business - Operations
merchant.fcbconnect.com,1,10,Business,Operations,Business - Operations
Management Reporter for Microsoft Dynamics ERP,1,10,Business,Operations,Business - Operations
ship.freightos.com,1,10,Business,Operations,Business - Operations
npmjs.com,1,10,Business,Operations,Business - Operations
www1.royalbank.com,1,10,Business,Operations,Business - Operations
payerlink.com,1,10,Business,Operations,Business - Operations
capturebilling.com,1,10,Business,Operations,Business - Operations
app.flexport.com,1,10,Business,Operations,Business - Operations
gpow.ceo.wellsfargo.com,1,10,Business,Operations,Business - Operations
control.akamai.com,1,10,Business,Operations,Business - Operations
create.kahoot.it,1,10,Business,Operations,Business - Operations
manage.bittitan.com,1,10,Business,Operations,Business - Operations
shipping-container-info.com,1,10,Business,Operations,Business - Operations
nbspayroll.com,1,10,Business,Operations,Business - Operations
nexweb12.nexsure.com,1,10,Business,Operations,Business - Operations
business.santander.co.uk,1,10,Business,Operations,Business - Operations
tourradar.com,1,10,Business,Operations,Business - Operations
VAIO Control Center,0,10,Business,Operations,Business - Operations
login.corrigo.com,1,10,Business,Operations,Business - Operations
compass-next.com,1,10,Business,Operations,Business - Operations
ts4.gruposaga.com.br,1,10,Business,Operations,Business - Operations
signal.swrsl.coyles.co.uk,1,10,Business,Operations,Business - Operations
treasury.mcbankny.com,1,10,Business,Operations,Business - Operations
kunakcloud.com,1,10,Business,Operations,Business - Operations
notams.faa.go,0,10,Business,Operations,Business - Operations
quillbot.com,1,10,Business,Operations,Business - Operations
windfinder.com,1,10,Business,Operations,Business - Operations
portalmovilidad.com,1,10,Business,Operations,Business - Operations
scribblemaps.com,1,10,Business,Operations,Business - Operations
portal.helptobuyagent3.org.uk,1,10,Business,Operations,Business - Operations
Postman,0,10,Business,Operations,Business - Operations
Representative Console 19.2.6 (39380-28337ce3b60b80f44aa30de04fb20f8753c785a7),1,10,Business,Operations,Business - Operations
ins.experian.co.uk,1,10,Business,Operations,Business - Operations
provider.bcbsm.com,1,10,Business,Operations,Business - Operations
proveedores.mediprocesos.com.gt,1,10,Business,Operations,Business - Operations
www1.my.commbank.com.a,0,10,Business,Operations,Business - Operations
oakbsp.acclipse.com,1,10,Business,Operations,Business - Operations
PSExpress,0,10,Business,Operations,Business - Operations
memonotepad.com,1,10,Business,Operations,Business - Operations
partner.pieinsurance.com,1,10,Business,Operations,Business - Operations
ontario.ca,1,10,Business,Operations,Business - Operations
geodislogistics.mercurygate.net,1,10,Business,Operations,Business - Operations
schaferchevy.com,1,10,Business,Operations,Business - Operations
avada.theme-fusion.com,1,10,Business,Operations,Business - Operations
dpisolar.com,1,10,Business,Operations,Business - Operations
docs.opensea.io,1,10,Business,Operations,Business - Operations
account.battle.net,1,10,Business,Operations,Business - Operations
book.parcelinternational.nl,1,10,Business,Operations,Business - Operations
Cisco AnyConnect User Interface,0,10,Business,Operations,Business - Operations
flixhq.to,1,10,Business,Operations,Business - Operations
Garena Platform,0,10,Business,Operations,Business - Operations
teach.mapnwea.org,1,10,Business,Operations,Business - Operations
Simpson Strong-Tie ? CFS Designer,0,10,Business,Operations,Business - Operations
jbsautoservices.com,1,10,Business,Operations,Business - Operations
ok-netsuper.com,1,10,Business,Operations,Business - Operations
ride.lyft.com,1,10,Business,Operations,Business - Operations
bir.gov.ph,1,10,Business,Operations,Business - Operations
clients.fxtrading.com,1,10,Business,Operations,Business - Operations
perfectcarelite.com,1,10,Business,Operations,Business - Operations
optimantra.com,1,10,Business,Operations,Business - Operations
pattamonpd.ketshopweb.com,1,10,Business,Operations,Business - Operations
ordering.orders2.me,1,10,Business,Operations,Business - Operations
login.comfortonline.nl,1,10,Business,Operations,Business - Operations
provider.azcompletehealth.com,1,10,Business,Operations,Business - Operations
pciauctions.com,1,10,Business,Operations,Business - Operations
online-banking.business.hsbc.co.uk,1,10,Business,Operations,Business - Operations
bossolasco.beepweb.local,1,10,Business,Operations,Business - Operations
eventplus.ae,1,10,Business,Operations,Business - Operations
modularclosets.com,1,10,Business,Operations,Business - Operations
trips.lastminute.com,1,10,Business,Operations,Business - Operations
Foxit PhantomPDF,0,10,Business,Operations,Business - Operations
agentweb2.plymouthrock.com,1,10,Business,Operations,Business - Operations
book2.hollandamerica.com,1,10,Business,Operations,Business - Operations
ladida.com,1,10,Business,Operations,Business - Operations
gdexpress.com,1,10,Business,Operations,Business - Operations
app.fastspring.com,1,10,Business,Operations,Business - Operations
swacargo.com,1,10,Business,Operations,Business - Operations
secure.hopshopgo.com,1,10,Business,Operations,Business - Operations
achmonitor.mandtbank.com,1,10,Business,Operations,Business - Operations
ci-sage-app,1,10,Business,Operations,Business - Operations
gouspack.e-courier.com,1,10,Business,Operations,Business - Operations
b053102586.flex.online-banking-services.com,1,10,Business,Operations,Business - Operations
sophieb.shootproof.com,1,10,Business,Operations,Business - Operations
efaxcorporate.com,1,10,Business,Operations,Business - Operations
N-able Take Control,0,10,Business,Operations,Business - Operations
ldlonline.co.uk,1,10,Business,Operations,Business - Operations
recruitee.com,1,10,Business,Operations,Business - Operations
roundhillexpress.com,1,10,Business,Operations,Business - Operations
qcc.quikforms.com,1,10,Business,Operations,Business - Operations
PerfectLaw AIM,0,10,Business,Operations,Business - Operations
publicstoragecanada.com,1,10,Business,Operations,Business - Operations
intrastat-surs.gov.si,1,10,Business,Operations,Business - Operations
order-rp.rms.rakuten.co.jp,1,10,Business,Operations,Business - Operations
business.unionbankph.com,1,10,Business,Operations,Business - Operations
dashboard.omise.co,1,10,Business,Operations,Business - Operations
homedepot.ca,1,10,Business,Operations,Business - Operations
ei9.adp.com,1,10,Business,Operations,Business - Operations
mouser.com,1,10,Business,Operations,Business - Operations
